truth_player_id,truth_player_name,truth_team_name,truth_team_id,truth_team_norm,truth_player_norm,tm_player_id,tm_player_name,tm_team_name,match_score,match_rule,status
3943,Declan Rice,England,3299,england,declan rice,357662,Declan Rice,England,1.000,exact,matched
3244,John Stones,England,3299,england,john stones,186590,John Stones,England,1.000,exact,matched
3205,Kyle Walker,England,3299,england,kyle walker,95424,Kyle Walker,England,1.000,exact,matched
5574,Toni Kroos,Germany,3262,germany,toni kroos,31909,Toni Kroos,Germany,1.000,exact,matched
30714,Jude Bellingham,England,3299,england,jude bellingham,581678,Jude Bellingham,England,1.000,exact,matched
6655,Fabián Ruiz Peña,Spain,3375,spain,fabian ruiz pena,350219,Fabián Ruiz,Spain,1.000,exact,matched
4353,Aymeric Laporte,Spain,3375,spain,aymeric laporte,176553,Aymeric Laporte,Spain,1.000,exact,matched
6765,Rodrigo Hernández Cascante,Spain,3375,spain,rodrigo hernandez cascante,357565,Rodri,Spain,1.000,exact,matched
34526,Marc Guehi,England,3299,england,marc guehi,392757,Marc Guéhi,England,1.000,exact,matched
4354,Phil Foden,England,3299,england,phil foden,406635,Phil Foden,England,1.000,exact,matched
6704,Theo Bernard François Hernández,France,3377,france,theo bernard francois hernandez,339808,Theo Hernández,France,1.000,exact,matched
3500,Granit Xhaka,Switzerland,3384,switzerland,granit xhaka,111455,Granit Xhaka,Switzerland,1.000,exact,matched
5579,Joshua Kimmich,Germany,3262,germany,joshua kimmich,161056,Joshua Kimmich,Germany,1.000,exact,matched
7787,Stefan de Vrij,Netherlands,3379,netherlands,stefan de vrij,111196,Stefan de Vrij,Netherlands,1.000,exact,matched
3167,Antonio Rüdiger,Germany,3262,germany,antonio rudiger,86202,Antonio Rüdiger,Germany,1.000,exact,matched
20016,Kléper Laveran Lima Ferreira,Portugal,3300,portugal,kleper laveran lima ferreira,14132,Pepe,Portugal,0.964,fuzzy,matched
10481,Aurélien Djani Tchouaméni,France,3377,france,aurelien djani tchouameni,413112,Aurélien Tchouaméni,France,1.000,exact,matched
5206,Rúben Santos Gato Alves Dias,Portugal,3300,portugal,ruben santos gato alves dias,258004,Rúben Dias,Portugal,1.000,exact,matched
41092,Nuno Mendes,Portugal,3300,portugal,nuno mendes,616341,Nuno Mendes,Portugal,1.000,exact,matched
17620,Marc Cucurella Saseta,Spain,3375,spain,marc cucurella saseta,284857,Marc Cucurella,Spain,1.000,exact,matched
4445,Jules Koundé,France,3377,france,jules kounde,411975,Jules Koundé,France,1.000,exact,matched
3961,N'Golo Kanté,France,3377,france,n golo kante,225083,N'Golo Kanté,France,1.000,exact,matched
8519,Dayotchanculle Upamecano,France,3377,france,dayotchanculle upamecano,344695,Dayot Upamecano,France,0.940,token_subset,matched
3669,Virgil van Dijk,Netherlands,3379,netherlands,virgil van dijk,139208,Virgil van Dijk,Netherlands,1.000,exact,matched
17592,William Saliba,France,3377,france,william saliba,495666,William Saliba,France,1.000,exact,matched
22084,Bukayo Saka,England,3299,england,bukayo saka,433177,Bukayo Saka,England,1.000,exact,matched
22128,Robin Aime Robert Le Normand,Spain,3375,spain,robin aime robert le normand,351809,Robin Le Normand,Spain,0.940,token_subset,matched
34639,Vitor Machado Ferreira,Portugal,3300,portugal,vitor machado ferreira,487469,Vitinha,Portugal,1.000,exact,matched
3308,Kieran Trippier,England,3299,england,kieran trippier,95810,Kieran Trippier,England,1.000,exact,matched
15503,Jerdy Schouten,Netherlands,3379,netherlands,jerdy schouten,347900,Jerdy Schouten,Netherlands,1.000,exact,matched
11514,Giovanni Di Lorenzo,Italy,3376,italy,giovanni di lorenzo,169880,Giovanni Di Lorenzo,Italy,1.000,exact,matched
5721,Daniel Carvajal Ramos,Spain,3375,spain,daniel carvajal ramos,138927,Daniel Carvajal,Spain,1.000,exact,matched
3570,Pierre-Emile Højbjerg,Denmark,3436,denmark,pierre emile hojbjerg,167799,Pierre-Emile Højbjerg,Denmark,1.000,exact,matched
5204,Bruno Miguel Borges Fernandes,Portugal,3300,portugal,bruno miguel borges fernandes,240306,Bruno Fernandes,Portugal,1.000,exact,matched
7480,Alessandro Bastoni,Italy,3376,italy,alessandro bastoni,315853,Alessandro Bastoni,Italy,1.000,exact,matched
68574,Nicholas Williams Arthuer,Spain,3375,spain,nicholas williams arthuer,709187,Nico Williams,Spain,1.000,exact,matched
316046,Lamine Yamal Nasraoui Ebana,Spain,3375,spain,lamine yamal nasraoui ebana,937958,Lamine Yamal,Spain,1.000,exact,matched
5549,Manuel Obafemi Akanji,Switzerland,3384,switzerland,manuel obafemi akanji,284730,Manuel Akanji,Switzerland,1.000,exact,matched
21582,Tijjani Reijnders,Netherlands,3379,netherlands,tijjani reijnders,460939,Tijjani Reijnders,Netherlands,1.000,exact,matched
8181,Nicolò Barella,Italy,3376,italy,nicolo barella,255942,Nicolò Barella,Italy,1.000,exact,matched
3193,Bernardo Mota Veiga de Carvalho e Silva,Portugal,3300,portugal,bernardo mota veiga de carvalho e silva,241641,Bernardo Silva,Portugal,1.000,exact,matched
30438,Ferdi Erenay Kadıoğlu,Turkey,3381,turkey,ferdi erenay kadioglu,369316,Ferdi Kadıoğlu,Turkiye,1.000,exact,matched
